Trench,Square,EU,Unit,Lithic_Type,Counts,Mass,Recorder,Date,Context
A,SW1,1,1,Flake,1,0.3,CC,28-Jul-08,1
A,SW2,2,2,Flake,1,18.4,HVV,28-Jul-08,1
A,SW5,5,9,Flake,20,73.6,CC,28-Jul-08,4
A,SW6,6,12,Flake,3,6.1,HVV,28-Jul-08,5
A,SW6,6,13,Flake,8,13.3,CC,28-Jul-08,5
A,SW9,9,16,Flake,2,2.7,HVV,28-Jul-08,6
A,SW11,11,17,Flake,2,6.3,HVV,28-Jul-08,7H
A,SW14,14,19,Flake,1,0.9,HVV,28-Jul-08,8
A,SW15,15,19,Flake,2,2.6,HVV,28-Jul-08,8
A,"SW/SE17,18,19",18,24,Flake,4,41,CC,28-Jul-08,7L
A,SW19,19,27,Flake,2,9.7,HVV,28-Jul-08,7L
A,SW20,20,27,Flake,2,7.1,HVV,28-Jul-08,7L
