Sample ID,A/S Loc,Date,Time,Initial Sample Wt,Initial Sample Vol,Aliquot Vol.,Diluted To Vol.,Analyst Name,Remarks,Batch ID,Sample Type,Samp Number,Wt Units,Vol Units,Solids Ratio,Sample Prep Vol.,Nominal Wt.,Sample Units,Samp Units Fact.,User Name 1,User Value 1,User Name 2,User Value 2,User Name 3,User Value 3,User Name 4,User Value 4,User Name 5,User Value 5,Result Name,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,View,Original Data,Tech,Special Sample Category,Special Calculated Value,Corr Coef,Read Delay,Read Time,Int Time,QC Recovery,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Al 396.153,2/22/2012,9:33:45 AM,Al,396.153,357.3287982, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,357.3287982,357.3287982, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,As 188.979,2/22/2012,9:33:51 AM,As,188.979,-43.54287403, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-43.54287403,-43.54287403, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ba 233.527,2/22/2012,9:33:51 AM,Ba,233.527,50.66612166, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,50.66612166,50.66612166, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Be 313.107,2/22/2012,9:33:45 AM,Be,313.107,-3770.020854, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-3770.020854,-3770.020854, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,B 249.677,2/22/2012,9:33:51 AM,B,249.677,348.8269254, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,348.8269254,348.8269254, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cd 228.802,2/22/2012,9:33:51 AM,Cd,228.802,154.2908781, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,154.2908781,154.2908781, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ca 317.933,2/22/2012,9:33:45 AM,Ca,317.933,1595.070319, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,1595.070319,1595.070319, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cr 267.716,2/22/2012,9:33:51 AM,Cr,267.716,7.934279693, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,7.934279693,7.934279693, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Cu 327.393,2/22/2012,9:33:45 AM,Cu,327.393,-917.3369517, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-917.3369517,-917.3369517, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Fe 238.204,2/22/2012,9:33:51 AM,Fe,238.204,121.0475665, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,121.0475665,121.0475665, , 
