Raw measurement data for the geoarchaeological analysis of samples from KTC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also at https://docs.google.com/spreadsheets/d/1_a20envyJUBA69NfSyLu0JniVUxnyKzAePUwQFrkS64/edit?pref=2&pli=1#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,Replicate 1 (you need to do this for all of your samples),,,,,,,Replicate 2 (only needed for one of your samples),,,,,,,Replicate 3 (only needed for one of your samples),,,,,,,,,,,,,,,,,,,
Sample ID,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,mean pH,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,,,,,Sample ID,pH,EC,SOM,CaCO3,Xlf,%fd,,
KTC-B-1,7.7,84,7.7,84,7.7,85,7.7,,,,,,,,,,,,,,,,,,,KTC-B-1,7.7,12,7.980658275,8.35973311,70.04292495,85.33455185,,
KTC-A-2,8.4,71,8.4,72,8.4,73,8.4,,,,,,,,,,,,,,,,,,,KTC-A-2,8.4,1100,4.070685064,9.499096671,157.3921054,94.2649292,,
KTC-A-3,9,75,9,75,9,76,9,9.1,77,9.1,77,9.1,78,9.1,9.1,80,9.1,81,9.1,82,9.1,,,,,KTC-A-3,9,268,4.556730595,9.389471459,164.1733794,94.53506856,,
KTC-A-4,9.3,86,9.3,86,9.3,87,9.3,9.3,68,9.3,68,9.3,69,9.3,9.3,71,9.3,72,9.3,72,9.3,,,,,KTC-A-4,9.3,272,3.410809129,11.73923284,182.5599889,94.80110938,,
KTC-A-5,9.1,71,9.1,73,9.1,75,9.1,9.1,77,9.1,79,9.1,81,,,,,,,,,,,,,KTC-A-5,9.1,144,3.082663188,12.54226024,308.7192324,96.78262353,,
KTC-A-6,7.6,60,7.6,62,7.6,65,7.6,,,,,,,,,,,,,,,,,,,KTC-A-6,7.6,122,3.541266566,10.41417049,296.6987046,96.48716524,,
KTC-A-7-up,8.6,90,8.6,90,8.6,91,8.6,,,,,,,,,,,,,,,,,,,KTC-A-7-up,8.6,89,3.405472234,11.42659982,221.6027944,95.66913609,,
KTC-A-7-lo,8.8,82,8.8,83,8.8,83,8.8,,,,,,,,,,,,,,,,,,,KTC-A-7-lo,8.8,84,2.690440131,11.73589167,203.9252183,95.58990856,,
KTC-A-8,8.3,72,8.3,75,8.3,77,8.3,,,,,,,,,,,,,,,,,,,KTC-A-8,8.3,98,3.61061328,8.573657364,195.4277286,94.35201139,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,measurement 1,measurement 2,measurement 3,mean EC,right after stir,30 min after stir,1 hour after stir,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,12.46,12.2,11.4,12.02,13,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-2,19,20,21,20,950,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-3,535,550,550,545,254,264,268,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-4,307,313,316,312,241,235,272,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-5,240,232,235,235.6666667,120,133,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
