Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW2,2,Unknown,Bivalve,0.9,1,NA,N,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW4,5,F. Viviparidae,Gastropod,1.3,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,F. Arcidae Anadara sp.,Bivalve,0.8,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,F. Muricidae,Gastropod,1.5,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,F. Potamididae,Gastropod,16.7,8,NA,N,N,HVV,,9-Jul-12
A,SW4,5,Unknown,Gastropod,3.2,8,NA,N,N,HVV,,9-Jul-12
A,SW4,5,Unknown,Bivalve,1.4,12,NA,N,N,HVV,,9-Jul-12
A,SW4,5,Unknown,Bivalve,3.7,4,NA,N,N,HVV,,9-Jul-12
A,SW4,5,F. Cyclophoridae,Gastropod,1,2,NA,N,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW5,9,F. Cyclophoridae Plectopylis degerbolae,Gastropod,1.3,1,21.16,N,N,CC,F-100-0168 B-100-0165 (F. Cylophoridae),10-Jul-12
A,SW5,9,F. Neritidae,Gastropod,1.7,1,25.06,N,N,CC,F-100-0161 B-100-0159,10-Jul-12
A,SW5,9,F. Cyclophoridae Rhiostoma housei,Gastropod,2.7,1,28.24,N,N,CC,F-100-0174 B-100-0173 S-100-0173,10-Jul-12
A,SW5,9,F. Cyclophoridae Rhiostoma housei,Gastropod,2.5,1,27.34,N,N,CC,F-100-0169 B-100-0170,10-Jul-12
A,SW5,9,F. Viviparidae Filopaludina sp. ,Gastropod,4.5,2,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Camaenidae Amphidronus atricallosus,Gastropod,3.2,1,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Cyclophoridae,Gastropod,2.5,3,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Muricidae,Gastropod,9.6,4,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Potamididae Telescopium telescopium,Gastropod,40.8,3,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Arcidae,Bivalve,36.7,3,NA,N,N,CC,,10-Jul-12
A,SW5,9,F. Amblemidae Pseudodon sp.,Bivalve,9,1,NA,N,N,CC,,10-Jul-12
