NISP Taxa per Stratigraphic Context,1 (Surface),2,3,4,5,6,7H,8,7L
Osteichthyes,5,-,-,-,-,-,2,-,-
Testudines,21,1,43,17,11,43,32,4,43
Varanus sp.,1,-,3,7,6,14,2,2,4
Pythonidae,-,-,-,-,-,-,-,-,1
Primates,2,-,1,-,-,1,-,-,2
Macaca sp.,-,-,6,-,-,-,8,1,2
Trachypithecus obscurus,-,-,-,-,-,-,2,-,-
Rodentia,-,-,1,-,-,-,3,-,-
Rattus remotus,-,-,-,-,-,1,-,-,-
Cannomys badius,-,-,-,-,-,-,-,-,2
Atherurus macrourus,-,-,-,-,-,1,-,-,-
Carnivora,-,-,-,-,-,-,1,-,-
Tragulidae,-,-,-,-,-,-,1,-,-
Cervus unicolor,-,-,-,-,-,-,1,-,-
Muntiacus muntjak,-,-,-,-,-,-,-,2,3
Bovinae,-,-,-,-,-,-,-,-,1
