NISP Taxa per Stratigraphic Context,1 (Surface),2,3,4,5,6,7H,8,7L
Neritidae,-,-,-,1,-,-,-,-,-
Nerita balteata,-,-,-,-,1,1,-,-,-
Cyclophorus sp.,-,-,-,-,-,-,7,-,-
Cyclophorus cf. saturnus,-,-,-,-,-,-,-,-,1
Cyclophorus malayanus,-,-,-,-,-,9,1,1,-
Cyclophoridae,-,-,2,3,2,12,20,5,27
Rhiostoma jalorensis,-,-,-,2,5,11,5,2,2
Rhiostoma sp.,-,-,-,-,-,-,9,-,2
Filopaludina sp.,-,-,-,2,-,-,-,-,-
Viviparidae,-,-,1,-,-,-,-,-,-
Pila sp.,-,-,-,-,-,-,6,-,-
Ampullariidae,-,-,-,-,-,1,2,-,3
Neoradina prasongi,-,-,8,134,71,115,3390,545,583
Telescopium telescopium,-,-,-,3,3,3,5,-,-
Muricidae,-,-,1,4,-,1,-,-,-
Plectopylis degerbolae,-,-,-,1,-,1,5,3,3
Amphidromus atricallosus,-,-,-,1,1,-,1,-,-
Anadara sp.,-,-,1,-,-,-,-,-,-
Arcidae,-,-,-,3,-,1,-,-,-
Pseudodon sp.,-,-,-,1,9,-,-,-,-
Amblemidae,-,-,-,-,1,66,191,18,367
Corbiculidae,-,-,-,-,-,-,1,-,-
