"","Trench","Square","Context","Unit","Counts","Mass","Recorder","Date"
"1","A","SW1","1",1,14,27.2,"CC","28-Jul-08"
"2","A","SW1","1",1,1,5.8,"CC","28-Jul-08"
"3","A","SW1","1",1,1,0.5,"CC","28-Jul-08"
"4","A","SW1","1",1,1,0,"CC","28-Jul-08"
"5","A","SW1","1",1,1,0.6,"CC","28-Jul-08"
"6","A","SW1","1",1,1,0.6,"CC","28-Jul-08"
"7","A","SW1","1",1,1,0.5,"CC","28-Jul-08"
"8","A","SW1","1",1,1,1,"CC","28-Jul-08"
"9","A","SW1","1",1,1,0.4,"CC","28-Jul-08"
"10","A","SW2","1",2,1,5.1,"HVV","28-Jul-08"
"11","A","SW2","1",2,51,72.1,"HVV","28-Jul-08"
"12","A","SW2","1",2,1,3.5,"HVV","28-Jul-08"
"13","A","SW2","1",2,1,6.9,"HVV","28-Jul-08"
"14","A","SW2","1",2,1,3.4,"HVV","28-Jul-08"
"15","A","SW2","1",2,1,1.5,"HVV","28-Jul-08"
"16","A","SW2","1",2,1,1.7,"HVV","28-Jul-08"
"17","A","SW2","1",2,1,6.3,"HVV","28-Jul-08"
"18","A","SW2","1",2,1,3.5,"HVV","28-Jul-08"
"19","A","SW2","1",2,1,1.4,"HVV","28-Jul-08"
"20","A","SW2","1",2,1,3,"HVV","28-Jul-08"
"21","A","SW2","1",2,1,2.3,"HVV","28-Jul-08"
"22","A","SW2","1",2,1,4.6,"HVV","28-Jul-08"
"23","A","SW2","1",2,1,3.1,"HVV","28-Jul-08"
"24","A","SW2","1",2,1,1.8,"HVV","28-Jul-08"
"25","A","SW2","1",2,1,1.2,"HVV","28-Jul-08"
"26","A","SW2","1",2,1,3.2,"HVV","28-Jul-08"
"27","A","SW2","1",2,1,1.1,"HVV","28-Jul-08"
"28","A","SW2","1",2,1,1.3,"HVV","28-Jul-08"
"29","A","SW2","1",2,1,0.8,"HVV","28-Jul-08"
"30","A","SW2","1",2,1,1.1,"HVV","28-Jul-08"
"31","A","SW2","1",2,1,1,"HVV","28-Jul-08"
"32","A","SW2","1",2,1,1.5,"HVV","28-Jul-08"
"33","A","SW2","1",2,1,1,"HVV","28-Jul-08"
"34","A","SW2","1",2,1,0.9,"HVV","28-Jul-08"
"35","A","SW2","1",2,1,4.4,"HVV","28-Jul-08"
